📖 Configuration loaded from config.json
🤖 Initializing Model with layers: [3, 64, 64, 64, 64, 1]
🚀 Start Training Heston Model...
⚙️  Config: Epsilon=10.0 (Should be 0.0 for Baseline)
Epoch     0 | Total: 0.567924 | PDE: 0.000020 | IC: 0.112606 | Mean W: 0.0082
Epoch   100 | Total: 0.091699 | PDE: 0.000020 | IC: 0.020700 | Mean W: 0.0047
Epoch   200 | Total: 0.004581 | PDE: 0.000018 | IC: 0.002616 | Mean W: 0.0011
Epoch   300 | Total: 0.004504 | PDE: 0.000018 | IC: 0.002605 | Mean W: 0.0011
Epoch   400 | Total: 0.004477 | PDE: 0.000018 | IC: 0.002655 | Mean W: 0.0009
Epoch   500 | Total: 0.004372 | PDE: 0.000018 | IC: 0.002554 | Mean W: 0.0010
Epoch   600 | Total: 0.004247 | PDE: 0.000018 | IC: 0.002555 | Mean W: 0.0009
Epoch   700 | Total: 0.004240 | PDE: 0.000018 | IC: 0.002434 | Mean W: 0.0009
Epoch   800 | Total: 0.004108 | PDE: 0.000018 | IC: 0.002539 | Mean W: 0.0009
Epoch   900 | Total: 0.004082 | PDE: 0.000018 | IC: 0.002489 | Mean W: 0.0009
Epoch  1000 | Total: 0.003871 | PDE: 0.000018 | IC: 0.002368 | Mean W: 0.0008
Epoch  1100 | Total: 0.003911 | PDE: 0.000018 | IC: 0.002464 | Mean W: 0.0008
Epoch  1200 | Total: 0.003765 | PDE: 0.000018 | IC: 0.002302 | Mean W: 0.0007
Epoch  1300 | Total: 0.003617 | PDE: 0.000018 | IC: 0.002257 | Mean W: 0.0007
Epoch  1400 | Total: 0.003486 | PDE: 0.000018 | IC: 0.002179 | Mean W: 0.0008
Epoch  1500 | Total: 0.003328 | PDE: 0.000018 | IC: 0.002047 | Mean W: 0.0007
Epoch  1600 | Total: 0.003346 | PDE: 0.000017 | IC: 0.002119 | Mean W: 0.0006
Epoch  1700 | Total: 0.003149 | PDE: 0.000017 | IC: 0.001981 | Mean W: 0.0006
Epoch  1800 | Total: 0.003085 | PDE: 0.000017 | IC: 0.001916 | Mean W: 0.0005
Epoch  1900 | Total: 0.002867 | PDE: 0.000017 | IC: 0.001878 | Mean W: 0.0005
Epoch  2000 | Total: 0.002743 | PDE: 0.000017 | IC: 0.001806 | Mean W: 0.0005
Epoch  2100 | Total: 0.002700 | PDE: 0.000016 | IC: 0.001714 | Mean W: 0.0003
Epoch  2200 | Total: 0.002560 | PDE: 0.000016 | IC: 0.001684 | Mean W: 0.0005
Epoch  2300 | Total: 0.002411 | PDE: 0.000016 | IC: 0.001548 | Mean W: 0.0004
Epoch  2400 | Total: 0.002266 | PDE: 0.000016 | IC: 0.001471 | Mean W: 0.0004
Epoch  2500 | Total: 0.002237 | PDE: 0.000016 | IC: 0.001515 | Mean W: 0.0004
Epoch  2600 | Total: 0.002110 | PDE: 0.000016 | IC: 0.001375 | Mean W: 0.0004
Epoch  2700 | Total: 0.001941 | PDE: 0.000016 | IC: 0.001264 | Mean W: 0.0004
Epoch  2800 | Total: 0.001839 | PDE: 0.000016 | IC: 0.001174 | Mean W: 0.0004
Epoch  2900 | Total: 0.001739 | PDE: 0.000016 | IC: 0.001178 | Mean W: 0.0005
Epoch  3000 | Total: 0.001582 | PDE: 0.000017 | IC: 0.001044 | Mean W: 0.0005
Epoch  3100 | Total: 0.001454 | PDE: 0.000017 | IC: 0.000960 | Mean W: 0.0006
Epoch  3200 | Total: 0.001326 | PDE: 0.000017 | IC: 0.000857 | Mean W: 0.0006
Epoch  3300 | Total: 0.001165 | PDE: 0.000018 | IC: 0.000778 | Mean W: 0.0009
Epoch  3400 | Total: 0.001049 | PDE: 0.000018 | IC: 0.000701 | Mean W: 0.0010
Epoch  3500 | Total: 0.000939 | PDE: 0.000018 | IC: 0.000636 | Mean W: 0.0016
Epoch  3600 | Total: 0.000880 | PDE: 0.000019 | IC: 0.000607 | Mean W: 0.0022
Epoch  3700 | Total: 0.000806 | PDE: 0.000019 | IC: 0.000544 | Mean W: 0.0030
Epoch  3800 | Total: 0.000707 | PDE: 0.000019 | IC: 0.000507 | Mean W: 0.0031
Epoch  3900 | Total: 0.000624 | PDE: 0.000019 | IC: 0.000449 | Mean W: 0.0035
Epoch  4000 | Total: 0.000536 | PDE: 0.000019 | IC: 0.000386 | Mean W: 0.0026
Epoch  4100 | Total: 0.000459 | PDE: 0.000017 | IC: 0.000340 | Mean W: 0.0022
Epoch  4200 | Total: 0.000362 | PDE: 0.000018 | IC: 0.000269 | Mean W: 0.0041
Epoch  4300 | Total: 0.000306 | PDE: 0.000017 | IC: 0.000235 | Mean W: 0.0018
Epoch  4400 | Total: 0.000236 | PDE: 0.000018 | IC: 0.000182 | Mean W: 0.0034
Epoch  4500 | Total: 0.000190 | PDE: 0.000013 | IC: 0.000149 | Mean W: 0.0012
Epoch  4600 | Total: 0.000174 | PDE: 0.000014 | IC: 0.000140 | Mean W: 0.0025
Epoch  4700 | Total: 0.000165 | PDE: 0.000013 | IC: 0.000138 | Mean W: 0.0008
Epoch  4800 | Total: 0.000151 | PDE: 0.000012 | IC: 0.000124 | Mean W: 0.0020
Epoch  4900 | Total: 0.000159 | PDE: 0.000017 | IC: 0.000126 | Mean W: 0.0030
Epoch  5000 | Total: 0.000146 | PDE: 0.000015 | IC: 0.000120 | Mean W: 0.0011
Epoch  5100 | Total: 0.000142 | PDE: 0.000013 | IC: 0.000118 | Mean W: 0.0013
Epoch  5200 | Total: 0.000145 | PDE: 0.000013 | IC: 0.000122 | Mean W: 0.0006
Epoch  5300 | Total: 0.000128 | PDE: 0.000014 | IC: 0.000105 | Mean W: 0.0013
Epoch  5400 | Total: 0.000129 | PDE: 0.000014 | IC: 0.000106 | Mean W: 0.0023
Epoch  5500 | Total: 0.000128 | PDE: 0.000017 | IC: 0.000102 | Mean W: 0.0032
Epoch  5600 | Total: 0.000116 | PDE: 0.000012 | IC: 0.000095 | Mean W: 0.0004
Epoch  5700 | Total: 0.000126 | PDE: 0.000017 | IC: 0.000100 | Mean W: 0.0037
Epoch  5800 | Total: 0.000112 | PDE: 0.000014 | IC: 0.000092 | Mean W: 0.0012
Epoch  5900 | Total: 0.000115 | PDE: 0.000015 | IC: 0.000094 | Mean W: 0.0026
Epoch  6000 | Total: 0.000105 | PDE: 0.000017 | IC: 0.000082 | Mean W: 0.0030
Epoch  6100 | Total: 0.000105 | PDE: 0.000018 | IC: 0.000082 | Mean W: 0.0035
Epoch  6200 | Total: 0.000106 | PDE: 0.000017 | IC: 0.000072 | Mean W: 0.0031
Epoch  6300 | Total: 0.000094 | PDE: 0.000018 | IC: 0.000072 | Mean W: 0.0059
Epoch  6400 | Total: 0.000097 | PDE: 0.000018 | IC: 0.000073 | Mean W: 0.0065
Epoch  6500 | Total: 0.000085 | PDE: 0.000019 | IC: 0.000061 | Mean W: 0.0067
Epoch  6600 | Total: 0.000085 | PDE: 0.000019 | IC: 0.000059 | Mean W: 0.0104
Epoch  6700 | Total: 0.000083 | PDE: 0.000019 | IC: 0.000060 | Mean W: 0.0129
Epoch  6800 | Total: 0.000082 | PDE: 0.000020 | IC: 0.000056 | Mean W: 0.0257
Epoch  6900 | Total: 0.000076 | PDE: 0.000020 | IC: 0.000048 | Mean W: 0.0394
Epoch  7000 | Total: 0.000074 | PDE: 0.000020 | IC: 0.000048 | Mean W: 0.0649
Epoch  7100 | Total: 0.000083 | PDE: 0.000020 | IC: 0.000050 | Mean W: 0.0589
Epoch  7200 | Total: 0.000073 | PDE: 0.000020 | IC: 0.000045 | Mean W: 0.0697
Epoch  7300 | Total: 0.000071 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.0697
Epoch  7400 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.0665
Epoch  7500 | Total: 0.000070 | PDE: 0.000020 | IC: 0.000044 | Mean W: 0.0691
Epoch  7600 | Total: 0.000068 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.0719
Epoch  7700 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000039 | Mean W: 0.0672
Epoch  7800 | Total: 0.000069 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.0745
Epoch  7900 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.0784
Epoch  8000 | Total: 0.000070 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.0814
Epoch  8100 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.0851
Epoch  8200 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.0846
Epoch  8300 | Total: 0.000069 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.0879
Epoch  8400 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.0894
Epoch  8500 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.0899
Epoch  8600 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.0929
Epoch  8700 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.0981
Epoch  8800 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.0907
Epoch  8900 | Total: 0.000076 | PDE: 0.000020 | IC: 0.000047 | Mean W: 0.1046
Epoch  9000 | Total: 0.000065 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.0994
Epoch  9100 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.1010
Epoch  9200 | Total: 0.000061 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.1106
Epoch  9300 | Total: 0.000061 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.1173
Epoch  9400 | Total: 0.000068 | PDE: 0.000020 | IC: 0.000044 | Mean W: 0.1134
Epoch  9500 | Total: 0.000063 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.1079
Epoch  9600 | Total: 0.000065 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.1120
Epoch  9700 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.1098
Epoch  9800 | Total: 0.000065 | PDE: 0.000020 | IC: 0.000040 | Mean W: 0.1223
Epoch  9900 | Total: 0.000071 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.1261
Epoch 10000 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000040 | Mean W: 0.1228
Epoch 10100 | Total: 0.000062 | PDE: 0.000020 | IC: 0.000039 | Mean W: 0.1187
Epoch 10200 | Total: 0.000070 | PDE: 0.000020 | IC: 0.000044 | Mean W: 0.1250
Epoch 10300 | Total: 0.000070 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.1246
Epoch 10400 | Total: 0.000061 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.1282
Epoch 10500 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.1279
Epoch 10600 | Total: 0.000065 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.1325
Epoch 10700 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.1480
Epoch 10800 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000040 | Mean W: 0.1367
Epoch 10900 | Total: 0.000072 | PDE: 0.000020 | IC: 0.000045 | Mean W: 0.1432
Epoch 11000 | Total: 0.000069 | PDE: 0.000020 | IC: 0.000044 | Mean W: 0.1463
Epoch 11100 | Total: 0.000060 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.1459
Epoch 11200 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.1544
Epoch 11300 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.1684
Epoch 11400 | Total: 0.000065 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.1641
Epoch 11500 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000040 | Mean W: 0.1666
Epoch 11600 | Total: 0.000066 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.1619
Epoch 11700 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000040 | Mean W: 0.1671
Epoch 11800 | Total: 0.000061 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.1655
Epoch 11900 | Total: 0.000060 | PDE: 0.000020 | IC: 0.000037 | Mean W: 0.1833
Epoch 12000 | Total: 0.000065 | PDE: 0.000020 | IC: 0.000041 | Mean W: 0.1682
Epoch 12100 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.1770
Epoch 12200 | Total: 0.000069 | PDE: 0.000020 | IC: 0.000043 | Mean W: 0.1894
Epoch 12300 | Total: 0.000070 | PDE: 0.000020 | IC: 0.000042 | Mean W: 0.1846
Epoch 12400 | Total: 0.000064 | PDE: 0.000020 | IC: 0.000040 | Mean W: 0.2026
Epoch 12500 | Total: 0.000063 | PDE: 0.000020 | IC: 0.000039 | Mean W: 0.1907
Epoch 12600 | Total: 0.000067 | PDE: 0.000020 | IC: 0.000039 | Mean W: 0.2074
Epoch 12700 | Total: 0.000063 | PDE: 0.000020 | IC: 0.000039 | Mean W: 0.1976
Epoch 12800 | Total: 0.000062 | PDE: 0.000020 | IC: 0.000038 | Mean W: 0.2080
