📖 Configuration loaded from config.json
🤖 Initializing Model with layers: [3, 64, 64, 64, 64, 1]
🚀 Start Training Heston Model...
⚙️  Config: Epsilon=0.0 (Should be 0.0 for Baseline)
Epoch     0 | Total: 0.776205 | PDE: 0.010589 | IC: 0.178892 | Mean W: 1.0000
Epoch   100 | Total: 0.055767 | PDE: 0.003131 | IC: 0.012403 | Mean W: 1.0000
Epoch   200 | Total: 0.008035 | PDE: 0.001986 | IC: 0.004078 | Mean W: 1.0000
Epoch   300 | Total: 0.007895 | PDE: 0.001818 | IC: 0.004113 | Mean W: 1.0000
Epoch   400 | Total: 0.007577 | PDE: 0.001535 | IC: 0.004173 | Mean W: 1.0000
Epoch   500 | Total: 0.007432 | PDE: 0.001379 | IC: 0.004270 | Mean W: 1.0000
Epoch   600 | Total: 0.006918 | PDE: 0.001229 | IC: 0.003974 | Mean W: 1.0000
Epoch   700 | Total: 0.006786 | PDE: 0.001094 | IC: 0.004022 | Mean W: 1.0000
Epoch   800 | Total: 0.006649 | PDE: 0.001004 | IC: 0.003942 | Mean W: 1.0000
Epoch   900 | Total: 0.006464 | PDE: 0.000918 | IC: 0.003984 | Mean W: 1.0000
Epoch  1000 | Total: 0.006275 | PDE: 0.000852 | IC: 0.003904 | Mean W: 1.0000
Epoch  1100 | Total: 0.006068 | PDE: 0.000794 | IC: 0.003799 | Mean W: 1.0000
Epoch  1200 | Total: 0.005931 | PDE: 0.000745 | IC: 0.003729 | Mean W: 1.0000
Epoch  1300 | Total: 0.005721 | PDE: 0.000704 | IC: 0.003603 | Mean W: 1.0000
Epoch  1400 | Total: 0.005433 | PDE: 0.000654 | IC: 0.003455 | Mean W: 1.0000
Epoch  1500 | Total: 0.005110 | PDE: 0.000622 | IC: 0.003304 | Mean W: 1.0000
Epoch  1600 | Total: 0.004988 | PDE: 0.000584 | IC: 0.003202 | Mean W: 1.0000
Epoch  1700 | Total: 0.004796 | PDE: 0.000562 | IC: 0.003030 | Mean W: 1.0000
Epoch  1800 | Total: 0.004424 | PDE: 0.000531 | IC: 0.002861 | Mean W: 1.0000
Epoch  1900 | Total: 0.004091 | PDE: 0.000474 | IC: 0.002683 | Mean W: 1.0000
Epoch  2000 | Total: 0.003777 | PDE: 0.000460 | IC: 0.002481 | Mean W: 1.0000
Epoch  2100 | Total: 0.003386 | PDE: 0.000407 | IC: 0.002216 | Mean W: 1.0000
Epoch  2200 | Total: 0.002917 | PDE: 0.000386 | IC: 0.001893 | Mean W: 1.0000
Epoch  2300 | Total: 0.002589 | PDE: 0.000341 | IC: 0.001705 | Mean W: 1.0000
Epoch  2400 | Total: 0.002213 | PDE: 0.000306 | IC: 0.001463 | Mean W: 1.0000
Epoch  2500 | Total: 0.001888 | PDE: 0.000300 | IC: 0.001205 | Mean W: 1.0000
Epoch  2600 | Total: 0.001588 | PDE: 0.000286 | IC: 0.000956 | Mean W: 1.0000
Epoch  2700 | Total: 0.001555 | PDE: 0.000308 | IC: 0.000937 | Mean W: 1.0000
Epoch  2800 | Total: 0.001505 | PDE: 0.000319 | IC: 0.000889 | Mean W: 1.0000
Epoch  2900 | Total: 0.001475 | PDE: 0.000340 | IC: 0.000880 | Mean W: 1.0000
Epoch  3000 | Total: 0.001382 | PDE: 0.000329 | IC: 0.000792 | Mean W: 1.0000
Epoch  3100 | Total: 0.001397 | PDE: 0.000315 | IC: 0.000841 | Mean W: 1.0000
Epoch  3200 | Total: 0.001317 | PDE: 0.000320 | IC: 0.000790 | Mean W: 1.0000
Epoch  3300 | Total: 0.001289 | PDE: 0.000296 | IC: 0.000790 | Mean W: 1.0000
Epoch  3400 | Total: 0.001253 | PDE: 0.000319 | IC: 0.000761 | Mean W: 1.0000
Epoch  3500 | Total: 0.001171 | PDE: 0.000298 | IC: 0.000716 | Mean W: 1.0000
Epoch  3600 | Total: 0.001134 | PDE: 0.000279 | IC: 0.000719 | Mean W: 1.0000
